country,year,education,innovation,competitiveness,military,trade_share,reserve_currency_proxy,financial_center_proxy,debt,mask_education,mask_innovation,mask_competitiveness,mask_military,mask_trade_share,mask_reserve_currency_proxy,mask_financial_center_proxy,mask_debt
USA,2000,13.14901424590337,99.94469427953153,74.53169325055333,3.4297589129152457,69.47527689304435,62.302304187458724,78.59157684219514,62.712800217929825,False,False,False,False,False,False,False,False
USA,2001,13.07258868146981,99.23468790213688,72.97433775933115,3.594274199778582,68.79389261352932,59.32267109854039,78.36685182642445,60.554612948549334,False,False,False,False,False,False,False,False
USA,2002,12.819808393024358,99.88332250008268,74.97300555052414,3.18268672131323,64.93526947261914,56.33746905008693,76.01544185330471,60.984306179345616,False,False,False,False,False,False,False,False
USA,2003,13.221539973998624,100.06854731247599,74.76870343522351,3.4096688913232134,57.236167374241276,63.171366678656746,80.97225190818439,58.07458859791842,False,False,False,False,False,False,False,False
USA,2004,12.796923399908213,100.24467051553634,77.06199904499191,3.7793840357348594,54.96469486066417,59.072362872446355,78.56247728646413,59.07170511668092,False,False,False,False,False,False,False,False
USA,2005,13.24375774671826,100.54249601142833,75.72327205009528,3.3064640736184625,59.78504376534029,64.69393096744201,80.26114120471452,58.50496324767066,False,False,False,False,False,False,False,False
USA,2006,12.934098433648746,100.1428450286047,73.38301279421363,3.349472886924639,65.49241270621245,60.98625332897905,80.29123264804412,64.84322495266444,False,False,False,False,False,False,False,False
USA,2007,12.789384071836794,99.8689351413609,75.59224055412915,3.578316581653967,51.50777554769751,58.73806403170392,79.51614286500197,62.02025428407269,False,False,False,False,False,False,False,False
USA,2008,12.031083907839482,83.97498617230256,54.08346775274546,3.771409504354454,41.045739256559386,67.38972633745585,47.65375026339398,76.2695935224684,False,False,False,False,False,False,False,False
USA,2009,13.342846844354506,100.3007732130747,77.8055886218722,3.0794446811623155,54.05678204921587,58.30110681119169,75.3480097068016,60.34281487403014,False,False,False,False,False,False,False,False
USA,2010,12.72417272972986,100.61997376200702,73.43349341532753,3.403381545138297,64.88110330421802,56.30740705069813,75.17755029631631,60.92316929266152,False,False,False,False,False,False,False,False
USA,2011,12.293286947978055,88.27520165086561,62.355984167611716,3.8044411260881534,42.499087269602086,60.69676109148301,56.61545219392722,66.58532663364443,False,False,False,False,False,False,False,False
USA,2012,13.559732353343428,100.18953316836472,73.05063665954536,3.7361253811227355,65.78025677546593,61.238342780809496,79.26383565199139,56.23131917821255,False,False,False,False,False,False,False,False
USA,2013,12.976869487175769,100.13646078992666,75.02600378375581,3.9360602231471953,63.75400408659004,57.42852733075115,76.78732250581666,62.41236207621593,False,False,False,False,False,False,False,False
USA,2014,12.932961164402245,100.28560019763684,75.94647524914708,3.478151326202938,54.91923769158957,55.4554583259424,80.64228123239062,53.77130610644006,False,False,False,False,False,False,False,False
USA,2015,12.73484276913966,100.06149004237821,75.116417436892,3.157108910650813,66.49830745905166,63.16140615610471,81.54510580162598,62.56892975456105,False,False,False,False,False,False,False,False
USA,2016,13.154514305891814,101.54109259626189,76.9080035269864,3.6954173753917394,55.36304871277457,59.28954417977997,86.94397570002053,50.66367403704126,False,False,False,False,False,False,False,False
USA,2017,12.85842044026317,100.43558023878694,73.56939258148006,3.7038793246804027,60.27343103942288,58.04519895718255,73.92457224002717,60.93227157384714,False,False,False,False,False,False,False,False
USA,2018,12.76224377847019,99.95410542341324,76.00997455796092,3.759726558251036,57.150328133034265,58.04001230227887,76.21734813699487,64.58930973527389,False,False,False,False,False,False,False,False
USA,2019,13.63664685910379,100.41298610422047,77.53382229837325,3.2876991603143657,62.66291656887737,62.32390216028801,70.27619797979278,54.87806179332855,False,False,False,False,False,False,False,False
USA,2020,12.275648285973336,81.53091362802891,56.85425900203653,3.345473076564324,34.63100677997586,61.38631042278981,44.11517344023354,73.75325865992782,False,False,False,False,False,False,False,False
USA,2021,13.475805044843606,99.50487380046926,74.69642980992883,3.6764951619453727,61.685951206410195,58.13190144053822,78.23190572916737,64.24801048510513,False,False,False,False,False,False,False,False
USA,2022,13.269879962629975,100.12291980835064,73.34200997815586,3.3319456879409093,59.87459043621511,60.35198214992634,81.64129214351011,58.98903673783053,False,False,False,False,False,False,False,False
USA,2023,13.247624904696409,100.32540385440025,77.61095761430866,3.5063011524898275,61.944998114930655,59.60957083689695,77.54533795029958,70.4619363784273,False,False,False,False,False,False,False,False
CHN,2000,8.579055436750034,100.31666507758517,49.963259681459256,3.2308236885542505,87.800957867342,0.4558827855493584,32.064657271378124,42.7451017887841,False,False,False,False,False,False,False,False
CHN,2001,8.122483285554361,99.79722272985155,48.586885083145035,3.569614981207291,68.4153252680214,0.1,26.40777889373782,44.14621139315261,False,False,False,False,False,False,False,False
CHN,2002,8.428829811601009,99.93602458801463,49.94446059202283,3.4134024083239587,82.58174848270471,0.25183071693430314,29.456199257715713,46.606846888395765,False,False,False,False,False,False,False,False
CHN,2003,8.112046240905208,100.00503696031272,50.07353052277683,3.649399487373635,97.22545966009245,0.2697957311335851,40.94901466608836,41.76680685857939,False,False,False,False,False,False,False,False
CHN,2004,6.938052137845096,99.7896979913277,51.02526792733148,4.062851251764766,72.81268262921314,0.6475757514519517,23.398833964896788,52.325835063417415,False,False,False,False,False,False,False,False
CHN,2005,8.589720060360644,99.81232973915812,44.86059641272737,3.9061617122496237,79.08368123797905,0.8713448935920385,30.026218498590914,45.18792237505897,False,False,False,False,False,False,False,False
CHN,2006,7.774967264260378,100.249139972939,50.3608868951357,3.6543316502176246,67.72708663411503,0.8833030465695527,37.75575987761262,45.462698537171434,False,False,False,False,False,False,False,False
CHN,2007,9.030373962440994,100.70213633697728,51.93612784875544,3.9105894672597046,88.46739589479671,0.1,28.652965827777212,47.87016902318385,False,False,False,False,False,False,False,False
CHN,2008,8.109163150962795,83.5362859100398,34.11628803827025,3.762002545557496,43.15311497578307,0.4732639881461635,19.099794738290544,51.13819625981632,False,False,False,False,False,False,False,False
